City ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
80,Kawalu,94,ID,1612480200,87,-7.3817,108.2082,72.03,2.3
81,Atambua,100,ID,1612480200,89,-9.1061,124.8925,75.67,4.54
82,Los Llanos de Aridane,40,ES,1612479971,44,28.6585,-17.9182,60.8,8.05
83,San Antonio,1,US,1612480156,47,29.4241,-98.4936,80.01,3.44
84,Liverpool,90,GB,1612480089,93,53.4106,-2.9779,44.6,4.61
85,Severo-Kuril'sk,77,RU,1612480200,88,50.6789,156.125,10.58,10.29
86,Linhares,19,BR,1612479937,82,-19.3911,-40.0722,75.45,6.17
87,Geraldton,40,AU,1612479969,33,-28.7667,114.6,75.2,20.71
88,Plymouth,90,US,1612479930,60,41.8334,-70.8328,37.4,6.91
89,Spring Hill,1,US,1612479977,36,28.4769,-82.5255,60.8,6.91
90,Amazar,8,RU,1612480201,82,53.858,120.875,-23.03,3.62
91,Rocha,100,UY,1612480182,78,-34.4833,-54.3333,66.02,15.77
92,Coquimbo,75,CL,1612480201,82,-29.9533,-71.3436,60.8,9.22
93,Hobart,75,AU,1612479930,78,-42.8794,147.3294,71.6,5.75
94,Dikson,100,RU,1612480041,92,73.5069,80.5464,-4.76,15.46
95,Flinders,55,AU,1612479937,77,-34.5833,150.8552,79.0,4.0
96,Butaritari,100,KI,1612479957,87,3.0707,172.7902,79.25,13.89
97,Dunedin,24,NZ,1612480187,69,-45.8742,170.5036,55.99,23.0
98,Mandurah,0,AU,1612480203,57,-32.55,115.7,61.0,1.01
99,Mahébourg,75,MU,1612480203,78,-20.4081,57.7,78.8,11.5
100,Tabuk,92,PH,1612480204,88,17.4189,121.4443,67.1,4.03
101,Umm Hājar,5,TD,1612480204,22,13.2954,19.6966,69.51,12.95
102,Laela,82,TZ,1612480151,93,-8.5667,32.05,61.41,2.26
103,Busselton,0,AU,1612479944,88,-33.65,115.3333,57.99,1.01
104,Cherskiy,20,RU,1612480041,72,68.75,161.3,-11.56,10.71
105,San Cristobal,40,VE,1612480204,58,7.7669,-72.225,84.2,9.22
106,Ribeira Grande,67,PT,1612479945,70,38.5167,-28.7,55.27,23.51
107,Mount Isa,100,AU,1612479985,54,-20.7333,139.5,86.0,16.11
108,Ilulissat,0,GL,1612480205,35,69.2167,-51.1,-0.4,14.97
109,Laas,0,IT,1612479953,86,46.6166,10.7002,39.99,3.27
110,George Town,20,MY,1612480036,78,5.4112,100.3354,75.2,7.52
111,Sur,0,OM,1612480205,70,22.5667,59.5289,65.26,4.25
112,Hasaki,20,JP,1612479960,55,35.7333,140.8333,35.6,4.61
113,Hong Kong,25,HK,1612479963,80,22.2855,114.1577,64.0,1.99
114,Visby,75,SE,1612480196,74,57.6409,18.296,24.8,11.5
115,Nome,90,US,1612479961,66,64.5011,-165.4064,5.0,18.41
116,Bambous Virieux,75,MU,1612480206,78,-20.3428,57.7575,79.0,11.5
117,Tasiilaq,75,GL,1612479959,80,65.6145,-37.6368,26.6,17.27
118,Narsaq,86,GL,1612480206,53,60.9167,-46.05,15.8,5.66
119,Nebug,99,RU,1612480206,81,44.1714,39.0036,50.54,13.96
120,Ixtapa,1,MX,1612480207,78,20.7,-105.2,73.4,10.36
121,Progreso,1,MX,1612480207,30,21.2833,-89.6667,86.0,11.5
122,Gerāsh,0,IR,1612480207,50,27.6652,54.1371,48.56,1.43
123,Mehamn,75,NO,1612480207,80,71.0357,27.8492,28.4,25.32
124,Artesia,1,US,1612480207,52,33.8658,-118.0831,66.2,5.75
